station_nbr;name;lat;lng
15193;Kołłątaja / Podwale;51.103854; 17.03678
15194;Opolska / Siemianowicka;51.071275; 17.090906
15195;Piaskowa / Św. Ducha;51.11289; 17.03971
15196;Klecińska / Duńska;51.109433; 16.969097
15197;pl. Orląt Lwowskich;51.10823; 17.02138
15198;Komandorska / Kamienna;51.09009; 17.0235
15199;Wrocław Stadion, stacja kolejowa;51.13707; 16.94095
15200;Wrocław Leśnica, stacja kolejowa;51.14323; 16.86627
15167;Stadion Olimpijski;51.118030730849426; 17.095563411712646
15254;Popowice;51.129565; 16.989853
15255;Grota-Roweckiego/Iwaszkiewicza;51.05687; 17.03236
15256;Kowalska/Lechitów;51.13197; 17.11071
15257;Kamieńskiego;51.15472; 17.04376
15258;Lubelska/Łukowska;51.165419; 16.920266
15259;Kwidzyńska pętla;51.12776; 17.10254
15260;Rakowiecka;51.09761; 17.06855
15261;Powstańców Śląskich/Orla;51.08; 17.00773
15262;Angel;51.103778; 17.05155
15263;Klecińska (Wrocław Grabiszyn);51.09724; 16.97512
15264;Rogowska/Sukielicka;51.11805; 16.94632
15265;Kozanowska/Pałucka;51.13863; 16.97735
15266;Piławska;51.07236; 17.04294
15267;Gorlicka/Stanety;51.14518; 17.11679
15268;3M;51.1277; 17.11456
15269;Gazowa/Międzyleska;51.07814; 17.07026
15270;Bezpieczna/Jugosławiańska;51.13894; 17.02028
15271;Piłsudskiego 13 od Jump Hall;51.1052; 17.02123
15272;Bardzka (cmentarz);51.07217; 17.05281
1;Pl. Kromera;51.13207714749649;17.06550121307373
2;Jedności Narodowej - Wyszyńskiego;51.12811145398997;17.05474019050598
3;Jedności Narodowej - Nowowiejska;51.12462351680015;17.045599222183228
4;Dworzec Nadodrze;51.12454271204484;17.034999132156372
5;Żeromskiego - Daszyńskiego;51.12557296208677;17.050459384918213
6;Plac Staszica;51.12288618340934;17.03056812286377
7;Bajana - Szybowcowa;51.121323874330685;17.036458253860474
8;Jedności Narodowej - Oleśnicka;51.121256532234305;17.043163776397705
9;Żeromskiego - Kluczborska;51.122387866424724;17.047605514526364
10;Nowowiejska - Wyszyńskiego;51.1222834885376;17.05226182937622
11;Wyszyńskiego - Prusa;51.119431524045254;17.05151081085205
12;Nowowiejska - Prusa;51.11920928565168;17.05654263496399
13;Plac Bema;51.11743807478881;17.041382789611816
14;Drobnera - Dubois;51.11698010808053;17.033389806747437
15;Sienkiewicza - Wyszyńskiego;51.116838676267925;17.05156981945038
16;Sienkiewicza - Piastowska;51.11568363359365;17.060614228248596
17;Plac Uniwersytecki;51.113844934670325;17.034462690353394
18;Hala Targowa;51.11287840974499;17.039633989334103
19;Kredka i Ołówek;51.11390891992754;17.067153453826904
20;Plac Nowy Targ;51.111187784441235;17.03857183456421
21;Wita Stwosza - Szewska;51.1102515151332;17.03505277633667
22;Rynek;51.10971938239645;17.0302677154541
23;Jana Pawła II;51.11143026836378;17.021266222000122
24;Inowrocławska - Urząd Skarbowy;51.11413791906944;17.0137345790863
25;Zachodnia - Poznańska;51.11760644376091;17.007222175598145
26;Plac Strzegomski;51.11346438894182;17.00635313987732
27;Dworzec Mikołajów;51.11533677840705;16.998703479766846
28;Legnicka - Wejherowska;51.12527668338291;16.98439121246338
29;Strzegomska - Gubińska;51.111955645831195;16.960535645484924
30;Muzeum Narodowe;51.11010332688538;17.047863006591797
31;Uniwersytet Wrocławski - Joliot Curie;51.11094529924635;17.052347660064697
32;Plac Grunwaldzki - Polaka;51.110362656007275;17.055496573448178
33;Rondo Reagana;51.112171183577146;17.06024408340454
34;Smoluchowskiego - Łukaszewicza;51.108048849946385;17.06479847431183
35;Politechnika Wrocławska - Gmach Główny;51.10723376985792;17.061327695846558
36;Mickiewicza - pętla tramwajowa;51.11400321382931;17.103824615478516
37;Teki;51.1039396220822;17.084147930145264
38;Olszewskiego - Spódzielcza;51.1019589785129;17.10146427154541
39;Plac Legionów;51.104384244689136;17.02254295349121
40;Świdnicka - Chrobry;51.104121513665575;17.031673192977905
41;Teatralna - Piotra Skargi;51.10462002766963;17.037112712860107
42;Traugutta - Pułaskiego;51.10443813804785;17.048335075378418
43;Zaporoska - Grabiszyńska;51.10185118595181;17.0137882232666
44;Świdnicka - Piłsudskiego;51.10123811098068;17.02876567840576
45;Skarbowców - Wietrzna;51.07333122768277;16.995055675506592
46;Dworzec kolejowy - północ;51.09965485778756;17.035846710205078
47;Kościuszki - Pułaskiego;51.10022753009522;17.04504132270813
48;Kościuszki - Komuny Paryskiej / Zgodna;51.09891037318256;17.051634192466732
49;Traugutta - Kościuszki;51.09699352280998;17.0562744140625
50;Dworzec kolejowy - południe;51.09695646516561;17.03801929950714
51;Pereca - Grabiszyńska;51.10097536207561;17.0082950592041
52;Grabiszyńska - Stalowa;51.099264089082496;17.000784873962402
53;Żelazna - Pereca;51.09804123119159;17.00680375099182
54;Zaporoska - Gajowicka;51.09722260577026;17.01408863067627
55;FAT - Grabiszyńska - Hallera;51.094790225798505;16.980035305023193
56;Hallera - Odkrywców;51.091191955420186;16.98563575744629
57;Krucza - Mielecka;51.09342911524615;17.002780437469482
58;Grochowa - Jemiołowa;51.09544381415203;17.007962465286255
59;Zaporoska - Wielka;51.09425117690591;17.01447486877441
60;Park Południowy - Powstańców Śląskich;51.07496256893404;17.006921768188477
61;Arena - Komandorska;51.094668940345535;17.026888132095333
62;Centrum Handlowe Borek;51.089264676748826;17.00162172317505
63;Komandorska - Kamienna;51.08992845137241;17.023476362228394
64;Ślężna - Kamienna;51.089756612155334;17.028229236602783
65;Gliniana - Gajowa;51.09156257672623;17.040224075317383
66;Kamienna - Gajowa;51.08774166546555;17.040288448333737
67;Powstańców Śląskich - Hallera;51.08658926519162;17.01230764389038
68;Armii Krajowej - Borowska;51.08346213967434;17.0352566242218
69;Krynicka;51.08016629798973;17.04749822616577
70;Racławicka - Rymarska;51.08013933717133;16.99460506439209
71;Sky Tower;51.094520702137686;17.020998001098633
72;Arkady;51.099264089082496;17.02756404876709
73;Promenady Business Park;51.12887566759688;17.04499840736389
74;Aleja Bielany;51.048031338767885;16.9643497467041
75;Fabryczna  (WSB);51.111190;16.990359
76;Żmigrodzka / Kasprowicza;51.135930;17.036662
77;Zaporoska - Krucza;51.094448;17.015140
