_id,uid,number,bookedBikes,bikes,bikeList,lat,lng,name
21,12498552,15021,0,5,"[{""active"": true, ""number"": ""57935"", ""bikeType"": 71}, {""active"": true, ""number"": ""57218"", ""bikeType"": 71}, {""active"": true, ""number"": ""57111"", ""bikeType"": 71}, {""active"": true, ""number"": ""650624"", ""bikeType"": 71}, {""active"": true, ""number"": ""651209"", ""bikeType"": 71}]",51.118237,17.028792,Kurkowa / Dubois
22,12498723,15022,0,7,"[{""active"": true, ""number"": ""57590"", ""bikeType"": 71}, {""active"": true, ""number"": ""57207"", ""bikeType"": 71}, {""active"": true, ""number"": ""57198"", ""bikeType"": 71}, {""active"": true, ""number"": ""57073"", ""bikeType"": 71}, {""active"": true, ""number"": ""650693"", ""bikeType"": 71}, {""active"": true, ""number"": ""650610"", ""bikeType"": 71}, {""active"": true, ""number"": ""650457"", ""bikeType"": 71}]",51.116612,17.023873,Jagiełły / Dmowskiego 
23,12498752,15023,0,8,"[{""active"": true, ""number"": ""57612"", ""bikeType"": 71}, {""active"": true, ""number"": ""57419"", ""bikeType"": 71}, {""active"": true, ""number"": ""57415"", ""bikeType"": 71}, {""active"": true, ""number"": ""57373"", ""bikeType"": 71}, {""active"": true, ""number"": ""57105"", ""bikeType"": 71}, {""active"": true, ""number"": ""650406"", ""bikeType"": 71}, {""active"": true, ""number"": ""650401"", ""bikeType"": 71}, {""active"": true, ""number"": ""650284"", ""bikeType"": 71}]",51.091457,17.017405,Plac Powstańców Śląskich
24,12498899,15024,0,14,"[{""active"": true, ""number"": ""57887"", ""bikeType"": 71}, {""active"": true, ""number"": ""57804"", ""bikeType"": 71}, {""active"": true, ""number"": ""57767"", ""bikeType"": 71}, {""active"": true, ""number"": ""57650"", ""bikeType"": 71}, {""active"": true, ""number"": ""57474"", ""bikeType"": 71}, {""active"": true, ""number"": ""57422"", ""bikeType"": 71}, {""active"": true, ""number"": ""57405"", ""bikeType"": 71}, {""active"": true, ""number"": ""57362"", ""bikeType"": 71}, {""active"": true, ""number"": ""57264"", ""bikeType"": 71}, {""active"": true, ""number"": ""57227"", ""bikeType"": 71}, {""active"": true, ""number"": ""650856"", ""bikeType"": 71}, {""active"": true, ""number"": ""650563"", ""bikeType"": 71}, {""active"": true, ""number"": ""650226"", ""bikeType"": 71}, {""active"": true, ""number"": ""650006"", ""bikeType"": 71}]",51.10592,17.075857,Wróblewskiego (ZOO)
25,12499012,15025,0,14,"[{""active"": true, ""number"": ""57993"", ""bikeType"": 71}, {""active"": true, ""number"": ""57991"", ""bikeType"": 71}, {""active"": true, ""number"": ""57960"", ""bikeType"": 71}, {""active"": true, ""number"": ""57943"", ""bikeType"": 71}, {""active"": true, ""number"": ""57616"", ""bikeType"": 71}, {""active"": true, ""number"": ""57528"", ""bikeType"": 71}, {""active"": true, ""number"": ""650861"", ""bikeType"": 71}, {""active"": true, ""number"": ""650787"", ""bikeType"": 71}, {""active"": true, ""number"": ""650589"", ""bikeType"": 71}, {""active"": true, ""number"": ""650477"", ""bikeType"": 71}, {""active"": true, ""number"": ""650395"", ""bikeType"": 71}, {""active"": true, ""number"": ""650344"", ""bikeType"": 71}, {""active"": true, ""number"": ""650343"", ""bikeType"": 71}, {""active"": true, ""number"": ""650271"", ""bikeType"": 71}]",51.084239,17.02439,Ślężna / Aleja Wiśniowa
26,12499052,15026,0,3,"[{""active"": true, ""number"": ""650737"", ""bikeType"": 71}, {""active"": true, ""number"": ""650527"", ""bikeType"": 71}, {""active"": true, ""number"": ""650105"", ""bikeType"": 71}]",51.103216,16.9461,Trymanda / Mińska
42,12499641,15042,0,5,"[{""active"": true, ""number"": ""57232"", ""bikeType"": 71}, {""active"": true, ""number"": ""57034"", ""bikeType"": 71}, {""active"": true, ""number"": ""650496"", ""bikeType"": 71}, {""active"": true, ""number"": ""650341"", ""bikeType"": 71}, {""active"": true, ""number"": ""650100"", ""bikeType"": 71}]",51.104571,17.048102,Traugutta / Pułaskiego
27,12499090,15027,0,23,"[{""active"": true, ""number"": ""57968"", ""bikeType"": 71}, {""active"": true, ""number"": ""57805"", ""bikeType"": 71}, {""active"": true, ""number"": ""57724"", ""bikeType"": 71}, {""active"": true, ""number"": ""57426"", ""bikeType"": 71}, {""active"": true, ""number"": ""57307"", ""bikeType"": 71}, {""active"": true, ""number"": ""57280"", ""bikeType"": 71}, {""active"": true, ""number"": ""57074"", ""bikeType"": 71}, {""active"": true, ""number"": ""650982"", ""bikeType"": 71}, {""active"": true, ""number"": ""650972"", ""bikeType"": 71}, {""active"": true, ""number"": ""650933"", ""bikeType"": 71}, {""active"": true, ""number"": ""650921"", ""bikeType"": 71}, {""active"": true, ""number"": ""650920"", ""bikeType"": 71}, {""active"": true, ""number"": ""650863"", ""bikeType"": 71}, {""active"": true, ""number"": ""650792"", ""bikeType"": 71}, {""active"": true, ""number"": ""650780"", ""bikeType"": 71}, {""active"": true, ""number"": ""650750"", ""bikeType"": 71}, {""active"": true, ""number"": ""650677"", ""bikeType"": 71}, {""active"": true, ""number"": ""650418"", ""bikeType"": 71}, {""active"": true, ""number"": ""650276"", ""bikeType"": 71}, {""active"": true, ""number"": ""650181"", ""bikeType"": 71}, {""active"": true, ""number"": ""650029"", ""bikeType"": 71}, {""active"": true, ""number"": ""650026"", ""bikeType"": 71}, {""active"": true, ""number"": ""651214"", ""bikeType"": 71}]",51.109332,17.060511,Janiszewskiego (PWr)
28,12499114,15028,0,4,"[{""active"": true, ""number"": ""57883"", ""bikeType"": 71}, {""active"": true, ""number"": ""57425"", ""bikeType"": 71}, {""active"": true, ""number"": ""650749"", ""bikeType"": 71}, {""active"": true, ""number"": ""650225"", ""bikeType"": 71}]",51.107235,17.060715,Norwida / Wyspiańskiego (PWr)
29,12499149,15029,0,7,"[{""active"": true, ""number"": ""57851"", ""bikeType"": 71}, {""active"": true, ""number"": ""57758"", ""bikeType"": 71}, {""active"": true, ""number"": ""57647"", ""bikeType"": 71}, {""active"": true, ""number"": ""57487"", ""bikeType"": 71}, {""active"": true, ""number"": ""57148"", ""bikeType"": 71}, {""active"": true, ""number"": ""650323"", ""bikeType"": 71}, {""active"": true, ""number"": ""651009"", ""bikeType"": 71}]",51.120474,17.036641,Plac Świętego Macieja / Trzebnicka
